起点	终点	拥挤度
教三西南	教三西门	0
教三西南	校医院	0
校医院	教三东南	0
教三东南	教三东门	0
教三东南	教二西门	0
教三东南	教二东南	0
教二东南	教二东北	0
教二东南	创新中心	0
创新中心	创新中心东南	0
创新中心东南	创新中心东北	0
教三西门	教三西北	0
教三东门	教三东北	0
教二西门	教三东北	0
教二北门	教二北	0
教三西北	教四西南	0
教三西北	教三北门	0
教三北门	教四南	0
教三北门	教三东北	0
教三东北	主楼西	0
教三东北	教二北	0
教二北	主楼	0
教二北	教二东北	0
教二东北	主楼东北	0
教二东北	创新中心东北	0
创新中心东北	操场	0
主楼西	教四东南	0
主楼西	主楼	0
主楼	教一南门	0
操场	科学会堂东北	0
教四西南	邮局	0
教四西南	教四西门	0
教四西南	教四南	0
教四南	教四南门	0
教四南	教四东南	0
教四东南	教一西门	0
教四东南	教一南门	0
教一南门	主楼东北	0
主楼东北	教一东北	0
主楼东北	科学会堂	0
科学会堂	科学会堂东北	0
科学会堂东北	体育馆	0
邮局	学一西南	0
教四西门	学一西南	0
教一西门	教四东门	0
教四东门	学二东南	0
教一东门	教一东北	0
体育馆	体育馆西北	0
学一西南	学十三	0
学一西南	学一	0
学一	学一东南	0
学一东南	学三东北	0
学一东南	学二	0
学二	学二东南	0
学二东南	图书馆西	0
学二东南	财务处	0
财务处	行政楼	0
行政楼	图书馆	0
行政楼	教一东北	0
教一东北	篮球场	0
教一东北	体育馆西北	0
体育馆西北	游泳馆	0
体育馆西北	学二十九	0
图书馆西	学四东北	0
图书馆西	图书馆	0
图书馆	图书馆西北	0
篮球场	图书馆东北	0
学十三	学五西南	0
学十三	学三	0
学三	学五	0
学三	学三东北	0
学三东北	学五东南	0
学三东北	学四	0
学四	学八	0
学四	学四东北	0
学四东北	学八东南	0
学四东北	图书馆西北	0
图书馆西北	图书馆东北	0
图书馆东北	学生食堂	0
学五西南	学五西北	0
学五西南	学五	0
学五	学五东南	0
学五东南	学五东北	0
学五东南	学八	0
学八	学八东南	0
学八东南	学八东北	0
学生食堂	科研楼西南	0
学五西北	青年公寓	0
学五西北	学五东北	0
学五东北	综合食堂西门	0
学五东北	学八东北	0
学八东北	综合食堂东门	0
学八东北	麦当劳	0
麦当劳	浴室	0
浴室	理发店	0
理发店	物美超市	0
物美超市	水果店	0
水果店	科研楼西南	0
科研楼西南	科研楼西北	0
青年公寓	留学生公寓西北	0
综合食堂西门	留学生公寓东北	0
综合食堂东门	综合食堂东北	0
留学生公寓西北	留学生公寓	0
留学生公寓	留学生公寓东北	0
留学生公寓东北	学十	0
留学生公寓东北	综合食堂东北	0
综合食堂东北	经管楼西南	0
学十	学十一东北	0
经管楼西南	快递站	0
经管楼西南	经管楼	0
经管楼	科研楼西北	0
科研楼西北	科研楼	0
学十一东北	北门外卖柜	0
北门外卖柜	快递站	0
教四西南	教三东北	0
教三东门	教二西门	0






