地点	X	Y
学一	123	297
学二	176	297
学三	123	226
学四	176	226
学五	123	200
学八	176	200
学十西门	148	110
学十一	148	110
学十三	94	226
留学生公寓	116	140
青年公寓	94	160
教四西门	94	338
邮局	94	338
教四南门	150	355
教四东门	213	338
教一西门	213	348
教一东门	335	348
教一南门	275	373
教三西门	94	480
教三东门	213	480
教三北门	150	448
教二西门	213	480
教二北门	275	464
主楼	275	409
行政楼	273	297
创新中心	364	515
财务处	240	297
科研楼	358	128
经管楼	239	128
浴室	275	174
体育馆西门	391	337
操场西门	391	411
游泳馆	433	297
学二十九	433	297
篮球场	335	262
综合食堂东门	213	155
综合食堂西门	148	155
学生食堂西门	335	200
风味食堂	335	200
麦当劳	255	174
物美超市	290	174
水果店	309	174
理发店	283	174
北门外卖柜	170	88
中邮驿站	213	88
图书馆	273	262
科学会堂	364	373
校医院	149	515
教三西南	94	515
教三东南	213	515
教三西北	94	448
教三东北	213	448
教二东南	335	515
教二北	275	448
教二东北	335	448
创新中心东南	391	515
创新中心东北	391	448
主楼西	213	409
教四西南	94	373
教四南	150	373
教四东南	213	373
主楼东北	335	373
科学会堂东北	391	373
学一西南	94	297
学一东南	148	297
学二东南	213	297
教一东北	335	297
体育馆西北	391	297
图书馆西	213	262
学三东北	148	226
学四东北	213	226
图书馆西北	273	226
图书馆东北	335	226
学五西南	94	200
学五东南	148	200
学八东南	213	200
学五西北	94	174
学五东北	148	174
学八东北	213	174
科研楼西南	335	174
留学生公寓西北	94	140
留学生公寓东北	148	140
综合食堂东北	213	140
科研楼西北	335	128
经管楼西南	213	128
学十一东北	148	88
南门	213	540
西门	60	409
北门	213	82
东门	446	297
学六	305	106
学六东	335	106
学六西南	278	128
学六东北	335	84
京东	322	84
顺丰	302	84
中邮驿站东北	278	84
学生活动中心西门	213	163
学生活动中心西北门	213	140		
学生活动中心南门	245	174
学生发展中心	245	210
档案馆	300	226
东门外卖柜	446	285
学二十九西南	406	297
学二十九西北	406	226
保卫处	406	190
学二十九东北	446	226
操场北门	426	385
学九	127	140
学生食堂南门	353	226
主席像	150	409
学十南门	177	140
体育馆北门	415	297
体育馆南门	411	367
