
Extracurricular 跑步 个人活动 2023 2 21 6:00 每天 线下 操场北门
Extracurricular 例会 集体活动 2023 2 25 19:00 每周 线下 图书馆
Extracurricular 练习口语 个人活动 2023 2 20 7:00 单次 线下 图书馆
Extracurricular 自习 个人活动 2023 2 20 16:00 单次 线下 图书馆
Extracurricular 游泳 个人活动 2023 2 20 17:00 单次 线下 游泳馆
Extracurricular 英语听力 个人活动 2023 2 21 7:00 单次 线下 学生发展中心
Extracurricular 读书 个人活动 2023 2 21 16:00 单次 线下 图书馆
Extracurricular 班会 集体活动 2023 2 21 17:00 单次 线下 教三北门
Extracurricular 自习 个人活动 2023 2 21 18:00 单次 线下 教三西门
Extracurricular 读书 个人活动 2023 2 21 19:00 单次 线下 教二西门
Extracurricular 家教 个人活动 2023 2 22 17:00 单次 线上 www.bupt.edu.cn
Extracurricular 聚餐 集体活动 2023 2 22 18:00 单次 线下 风味食堂
Extracurricular 练习口语 个人活动 2023 2 23 7:00 单次 线下 图书馆
Extracurricular 自习 个人活动 2023 2 23 18:00 单次 线下 教二西门
Extracurricular 听讲座 集体活动 2023 2 23 19:00 单次 线下 科学会堂
Extracurricular 邮局志愿 个人活动 2023 2 24 7:00 单次 线下 邮局
Extracurricular 实习 个人活动 2023 2 25 8:00 单次 线下 科研楼
Extracurricular 学术汇报 个人活动 2023 2 25 9:00 单次 线下 经管楼
Extracurricular 看电影 个人活动 2023 2 25 10:00 单次 线下 学生活动中心西门
Extracurricular 自习 个人活动 2023 2 25 11:00 单次 线下 图书馆
Extracurricular 读书 个人活动 2023 2 25 14:00 单次 线下 教三东门
Extracurricular 沙龙 集体活动 2023 2 25 15:00 单次 线下 教三东门
Extracurricular 美育 集体活动 2023 2 26 9:00 单次 线下 科学会堂
Extracurricular 军训 集体活动 2023 2 26 14:00 单次 线下 操场西门
Extracurricular 团体操 个人活动 2023 2 26 15:00 单次 线下 学生活动中心西门
Extracurricular 轮滑 集体活动 2023 2 26 16:00 单次 线下 体育馆西门
Extracurricular 自习 个人活动 2023 2 26 17:00 单次 线下 图书馆
Extracurricular 练习口语 个人活动 2023 2 27 7:00 单次 线下 图书馆
Extracurricular 自习 个人活动 2023 2 27 16:00 单次 线下 图书馆
Extracurricular 游泳 个人活动 2023 2 27 17:00 单次 线下 游泳馆
Extracurricular 英语听力 个人活动 2023 2 28 7:00 单次 线下 学生发展中心
Extracurricular 读书 个人活动 2023 2 28 16:00 单次 线下 图书馆
Extracurricular 班会 集体活动 2023 2 28 17:00 单次 线下 教三北门
Extracurricular 自习 个人活动 2023 2 28 18:00 单次 线下 教三西门
Extracurricular 读书 个人活动 2023 2 28 19:00 单次 线下 教二西门
Extracurricular 家教 个人活动 2023 3 1 17:00 单次 线上 www.bupt.edu.cn
Extracurricular 聚餐 集体活动 2023 3 1 18:00 单次 线下 风味食堂
Extracurricular 练习口语 个人活动 2023 3 2 7:00 单次 线下 图书馆
Extracurricular 自习 个人活动 2023 3 2 18:00 单次 线下 教二西门
Extracurricular 听讲座 集体活动 2023 3 2 19:00 单次 线下 科学会堂
Extracurricular 邮局志愿 个人活动 2023 3 3 7:00 单次 线下 邮局
Extracurricular 实习 个人活动 2023 3 4 8:00 单次 线下 科研楼
Extracurricular 学术汇报 个人活动 2023 3 4 9:00 单次 线下 经管楼
Extracurricular 看电影 个人活动 2023 3 4 10:00 单次 线下 学生活动中心西门
Extracurricular 自习 个人活动 2023 3 4 11:00 单次 线下 图书馆
Extracurricular 读书 个人活动 2023 3 4 14:00 单次 线下 教三东门
Extracurricular 沙龙 集体活动 2023 3 4 15:00 单次 线下 教三东门
Extracurricular 美育 集体活动 2023 3 5 9:00 单次 线下 科学会堂
Extracurricular 军训 集体活动 2023 3 5 14:00 单次 线下 操场西门
Extracurricular 团体操 个人活动 2023 3 5 15:00 单次 线下 学生活动中心西门
Extracurricular 轮滑 集体活动 2023 3 5 16:00 单次 线下 体育馆西门
Extracurricular 自习 个人活动 2023 3 5 17:00 单次 线下 图书馆
Extracurricular 练习口语 个人活动 2023 3 6 7:00 单次 线下 图书馆
Extracurricular 自习 个人活动 2023 3 6 16:00 单次 线下 图书馆
Extracurricular 游泳 个人活动 2023 3 6 17:00 单次 线下 游泳馆
Extracurricular 英语听力 个人活动 2023 3 7 7:00 单次 线下 学生发展中心
Extracurricular 读书 个人活动 2023 3 7 16:00 单次 线下 图书馆
Extracurricular 班会 集体活动 2023 3 7 17:00 单次 线下 教三北门
Extracurricular 自习 个人活动 2023 3 7 18:00 单次 线下 教三西门
Extracurricular 读书 个人活动 2023 3 7 19:00 单次 线下 教二西门
Extracurricular 家教 个人活动 2023 3 8 17:00 单次 线上 www.bupt.edu.cn
Extracurricular 聚餐 集体活动 2023 3 8 18:00 单次 线下 风味食堂
Extracurricular 练习口语 个人活动 2023 3 9 7:00 单次 线下 图书馆
Extracurricular 自习 个人活动 2023 3 9 18:00 单次 线下 教二西门
Extracurricular 听讲座 集体活动 2023 3 9 19:00 单次 线下 科学会堂
Extracurricular 邮局志愿 个人活动 2023 3 10 7:00 单次 线下 邮局
